Eigvals	3
73.33913811422632	31.605053258792022	24.960866137103746

Proportion explained	3
0.7683148552674162	0.14268577541119767	0.08899936932138626

Species	14	3
13-docosenoate	-0.010976796634479662	-0.027363575958252038	-0.006182492154388335
17-methylstearate	0.07612251819616807	0.01870662671315247	-0.008730465768920264
2'-O-methyladenosine	0.027712996301123345	0.0429244830308994	-0.008663126109683936
2-aminoadipate	-0.009956687304584634	0.07673204078548779	-0.020468590868287204
2-aminobutyrate	0.02009419837302819	-0.02393295101546677	-0.03332340255839557
2-aminoheptanoic acid	0.06466146271210055	-0.0209730242559879	-0.02062329138774127
2-deoxyadenosine	-0.0838256612506177	-0.01164108838124262	0.0440302779453546
2-deoxycytidine	-0.02947161151539437	-0.009932852928599283	0.040762408077706355
2-hydroxy-3-methylbutyrate	0.005142017528447044	-0.017548176059875367	-0.021164513919745664
2-hydroxy-3-methylpentanoate	-0.004230012134812446	-0.07382455789716089	-0.018977024853195645
2-hydroxyglutarate	-0.0028464466924332864	-0.027419261873906628	-0.005336044273354068
2-hydroxyhexadecanoate	-0.0603954372348034	0.0009726317181032568	0.033894972636532475
2-hydroxyibuprofen	0.017677813959345822	-0.0038611346185499973	-0.025980669890148227
2-hydroxyoctanoate	-0.03525130214998317	-0.08208312905467405	0.001160210810598416
21-deoxycortisol	0.07026856344049327	0.058152682191794446	-0.01828275204732828
3'-O-methyladenosine	-0.0346197818928821	0.042817692616531344	0.02588027727757883
3-hydroxydecanoate	0.007652963182031217	0.0705009901587874	0.04874436030939705
3-hydroxymethylglutarate	0.013767048054163932	-0.04626647997686612	0.0011200949798433012
3-hydroxyoctanoate	0.10226179272717117	0.022588353951311757	0.04266361338594696
3-methyladipate/pimelate	-0.019392896028133787	0.0015823037709142601	0.0007124955505335968
3-methylglutaconate	0.06015609335320085	-0.0035917211166288936	0.009151359435216071
3-methylhistidine	0.03317854403186876	0.027491698321542545	-0.050739004877499785
3-methylxanthine	-0.03269372621871568	0.02577405094791873	0.041111683327265856
4-aminophenol	0.03322798898145995	0.016695388691725425	-0.007774082710262399
4-guanidinobutanoic acid	0.0012706861100553995	-0.005497243159021301	0.07374648830706887
4-hydroxy-3-methylacetophenone	0.033395966245128215	0.008767777245860872	0.001905425024263197
4-hydroxybenzaldehyde	-0.01190206817065001	0.06642614729381682	-0.02956594326218343
4-hydroxybenzeneacetonitrile	0.07666564829166987	-0.017580364080984488	-0.00186631194543962
4-hydroxystyrene	-0.015502737541808207	0.02382252406143812	0.03437906062367447
4-methylcatechol	0.0007919882603349151	-0.03204477526373264	0.009200679002108322
4-nitrophenol	0.002147690884855499	-0.009118572759290153	0.02491150222581847
4-pyridoxate	-0.02463090680120664	-0.0006786898978805636	0.010218422305527775
5-acetylamino-6-amino-3-methyluracil	-0.030579948427052913	0.002179934454901109	0.054638399432782876
5-aminolevulinic acid	-0.0526207717104634	-0.08962486591526508	0.002713689816066599
5-dodecenoate	0.04287098749143213	0.03796399937091375	0.015575800510256298
5-hydroxytryptophan	0.0661975817276395	-0.10928695874331701	-0.03802592381589317
5alpha-cholestan-3beta-ol	0.10816570815610972	-0.07035555480367918	-0.021224655316865668
7-methylguanine	-0.005529384386346237	0.05482309307722203	-0.034049913913497334
7-methylxanthine	-0.11498126196718739	0.04756565937010181	-0.050524081117229364
8-hydroxy-deoxyguanosine	0.004419855550076772	0.04722871514686721	0.009827777580767806
9.10-diHOME	-0.024930009492610563	-0.0060181643563915485	-0.03165772415122946
ADMA/SDMA	-0.07035910881641536	-0.023115307585213407	-0.0646382943145201
C10 carnitine	0.0390418908959562	-0.07183210566753521	-0.04903539919959246
C10:2 carnitine	0.04079188870324558	-0.021402296454512224	-0.008230882357541065
C12 carnitine	0.03914122926972786	-0.06425188410761293	-0.029092711288779497
C12:1 carnitine	0.027113618312386175	-0.11734206281563273	-0.0313187562668675
C14 carnitine	0.049622898788664535	-0.03780602295743911	-0.04305193105917276
C14:0 CE	0.00014318991324402728	-0.010169116918291046	0.015642664879764085
C14:0 LPC	-0.00862062233278471	-0.013873745270299505	-0.00012350039022846466
C14:0 SM	0.018634445840624604	-0.011674796213861294	-0.014146160086466441
C14:1 carnitine	0.03615421251913634	-0.05494639504168078	-0.03878253730400187
