featureid	UNKNOWN	k__Archaea|p__Euryarchaeota	k__Bacteria|p__Actinobacteria	k__Bacteria|p__Bacteroidetes	k__Bacteria|p__Candidatus_Melainabacteria	k__Bacteria|p__Firmicutes	k__Bacteria|p__Fusobacteria	k__Bacteria|p__Lentisphaerae	k__Bacteria|p__Proteobacteria	k__Bacteria|p__Spirochaetes	k__Bacteria|p__Synergistetes	k__Bacteria|p__Verrucomicrobia	k__Eukaryota|p__Ascomycota	k__Eukaryota|p__Eukaryota_unclassified
leucine	7.43059484759126	5.026985866155551	7.496046055064895	6.8168423990263864	6.208864850943483	7.076181760399305	5.204869967988361	2.109717098426	7.446839934312732	3.5156340792056886	7.6970195897192895	7.074516034311146	2.8297975518046976	-0.7085779557961289
linoleate	4.752939150587572	3.0020363479186805	4.457626823140363	4.85440717353593	4.202178795894494	4.795787434748957	3.8915286966597415	2.0368909711952052	4.320158136354865	2.5657615718642894	4.857356970574353	5.019124356991674	2.826252910599037	2.5992770663493707
linoleoyl ethanolamide	2.820591926650479	1.8996231205848186	2.6165204246218323	2.129649400890691	1.9974695861436578	2.294509612769175	1.473800658576543	0.5514522116893332	2.6297987417826105	1.2913519374479066	2.785239001806227	2.1775953727627484	1.4821475189026008	-1.5606214914925851
linoleoylethanolamide	1.862764741808078	1.0640021249650387	1.7389192190768246	1.1895712821532392	1.1031754267486606	1.3678138175017032	0.589905757006316	-0.26976194872147086	1.7650144758605548	0.4408457631023559	1.8456808406780993	1.2345308967781867	0.4917937799380945	-2.4712251001958543
lithocholate	3.949339879994198	1.5364127545604758	3.107037975874654	3.930034666666141	3.0220376748991375	3.7751811880685184	2.688013702898905	0.6215475005231312	2.8915040343246945	1.2798238981488268	3.907624560006793	4.0953167736431935	2.5307308570712377	1.8362809333129895
lysine	0.7399568238462133	1.024352402646092	0.8976821201125909	0.7607390140880959	0.8641848714713527	0.7897909398169863	0.8921087679923321	1.083077777894981	0.927986330153984	1.0127187902857635	0.7615119855047041	0.7455127100111638	0.7601913202027242	0.8606114019040922
malate	-1.4482890397194184	-1.1553389516118742	-1.3315623161401542	-1.3947479937159875	-1.3036385469635619	-1.3863205927387403	-1.2399428228879075	-0.9911482536798215	-1.308995947223003	-1.102789311549567	-1.441249362745065	-1.4149423840579627	-1.2654758144405114	-1.0093088794642298
malonate	-2.8624228235022904	-1.6347269704891456	-2.780766954833556	-2.582616149929045	-2.2547433915221564	-2.674161284003633	-1.8020954379943792	-0.3340086557660815	-2.7381711940886526	-0.9897076134874445	-2.9668855886692675	-2.706204692178789	-0.8610899436700428	0.7195641416822371
mandelate	-4.874228921635115	-1.9771924042351836	-4.33084718641229	-4.81105921880481	-3.8068852276600476	-4.763870015035301	-3.190154992195441	-0.14859752337849905	-4.123103838358223	-1.1618073223817191	-5.024194791218724	-5.076715839965849	-1.653202153393314	-0.44806306872540574
masilinate	0.9073658556416242	0.7945506255778567	0.9559455093434457	0.844121202407152	0.8267972478471766	0.8784202139857323	0.7459507703575015	0.5602133873849791	0.9634497660351667	0.6632192041944927	0.9277917405321183	0.8572145941660536	0.546776418647648	0.20051311939834754
metformin	2.2980228244677074	-0.13056432134337292	0.9222292700682211	1.2498514519909854	0.5693781333441459	1.2387983156428866	-0.07959494364517039	-1.5694418716856304	0.7753270945037803	-0.4517193078343631	1.9520234749186898	1.305306391794589	1.8341621081926882	-2.6385916042873725
