Eigvals	3
182.3625502591505	60.18962611285537	47.848268188268094

Proportion explained	3
0.8490554689461061	0.09249282427886563	0.05845170677502828

Species	36	3
c__Fusobacteriia|o__Fusobacteriales	3.5761695830615605	-12.82790819735863	-2.0776420460701766
c__Lentisphaeria|o__Victivallales	38.278945526147666	-2.4999110489276366	-4.614117343247834
c__Betaproteobacteria|o__Burkholderiales	-23.00899757009342	3.026462891219604	-0.9109532278821496
c__Betaproteobacteria|o__Neisseriales	-17.591888212390998	-18.122406725252073	3.7921723971395576
c__Deltaproteobacteria|o__Desulfovibrionales	-14.867058672732465	-9.465089396192305	0.6166556635008265
c__Epsilonproteobacteria|o__Campylobacterales	55.067889166404	16.86576151410491	2.4151172486118266
c__Gammaproteobacteria|o__Enterobacterales	-18.65336173218646	-0.6270148209961387	0.9101758266023906
c__Gammaproteobacteria|o__Pasteurellales	-13.1864846342747	-4.346482432472728	1.5976497499200828
c__Gammaproteobacteria|o__Pseudomonadales	34.005640727607535	15.918989035548384	-9.069477443708168
c__Proteobacteria_unclassified|o__Proteobacteria_unclassified	13.043398472021277	-3.173423762994057	-19.26741593611971
c__Synergistia|o__Synergistales	11.79632689853185	4.008752207055915	0.03433101841588624
c__Verrucomicrobiae|o__Verrucomicrobiales	-26.382281523181103	5.221918967863649	-3.7290569607228066
c__Saccharomycetes|o__Saccharomycetales	69.48704909347701	3.746771993849429	-12.339575953649797
c__Eukaryota_unclassified|o__Eukaryota_unclassified	39.15221287243343	-8.00553254034404	14.197605638728403

Site	551	3
1-3-7-trimethylurate	-0.031199045674365208	-0.019278571056480624	0.016630412181103157
1-methylguanine	0.01229783124687246	-0.02313797630860789	-0.02632606119536783
1-methylguanosine	0.06260329303626044	0.029467656047391485	-0.014290853245581374
1-methylhistamine	0.024989004552457478	0.029818343914453226	0.003464620903370713
1-methylnicotinamide	0.06368375933996352	0.03533092706148201	0.004826726494694027
1.2.3.4-tetrahydro-beta-carboline-1.3-dicarboxylate	0.05120772413404142	0.024784501779994177	0.02725446641959218
10-heptadecenoate	-0.006297583794340435	0.008027175588950716	-0.03435729560891269
10-nonadecenoate	-0.004150561541209804	-0.0007073515660521687	0.03547612323418875
12.13-diHOME	0.014569921010102843	-0.025703698780179026	0.008137048251914856
13-cis-retinoic acid	0.0798785033959511	-0.03262422495903481	-0.026251771669262663
13-docosenoate	0.011585646102254377	0.06132051527722092	0.003868760656921858
17-methylstearate	0.05138460700021999	0.015825263656865842	0.008820428316168067
2'-O-methyladenosine	0.029768030599026128	-0.010890412094771661	0.0061759067804761
2-aminoadipate	-0.03278571813114088	0.03351622296262414	-0.06216592834166668
2-aminobutyrate	0.05801255039791362	-0.00990182575076239	0.05776858187121585
2-aminoheptanoic acid	0.08528698207850376	0.04882248094208064	-0.003535511295637493
2-deoxyadenosine	-0.09726871409350972	0.08958964135467971	0.012836615796026492
2-deoxycytidine	-0.03131772676164492	-0.05720991367425261	-0.11310892660874385
2-hydroxy-3-methylbutyrate	-0.004591856321457362	-0.023680257133731758	-0.04964682891979795
2-hydroxy-3-methylpentanoate	0.004371139293160259	-0.014128191636368064	-0.017174646689894376
2-hydroxyglutarate	0.021086429784069174	0.007869066699332624	0.01956502598642153
2-hydroxyhexadecanoate	-0.003645988476227748	0.012766328679038466	-0.028318447464106156
2-hydroxyibuprofen	-0.012267802678772465	-0.03992487908084039	-0.0733635964598707
2-hydroxyoctanoate	0.03096439743102019	-0.041154290381506115	-0.017321577047390322
21-deoxycortisol	0.052792129948140594	0.03610510636924328	0.0072922079772844844
3'-O-methyladenosine	-0.027874980946302443	-0.002891088010375345	-0.04932285094927745
3-hydroxydecanoate	-0.026573285394553732	-0.03508735701071575	0.029641956785337202
3-hydroxymethylglutarate	0.008064948952034882	0.058583899341420775	-1.4929933225978124e-05
3-hydroxyoctanoate	0.08724398841439682	-0.0260053118374983	0.02325781770800559
3-methyladipate/pimelate	0.02595449343033995	0.04228725503900115	0.0006020078364364472
3-methylglutaconate	0.06663866733013911	0.01163992036871306	0.040420497828696264
3-methylhistidine	0.04602624280354429	0.0739029088357543	0.026839931249701073
3-methylxanthine	-0.04268737263364141	0.0319995489806937	0.04244782140976091
4-aminophenol	0.061177617664156664	0.019868048433312215	0.025421820642626058
