featureid	UNKNOWN	c__Methanobacteria|o__Methanobacteriales	c__Thermoplasmata|o__Methanomassiliicoccales	c__Actinobacteria|o__Actinomycetales	c__Actinobacteria|o__Bifidobacteriales	c__Actinobacteria|o__Corynebacteriales	c__Actinobacteria|o__Micrococcales	c__Actinobacteria|o__Propionibacteriales	c__Coriobacteriia|o__Coriobacteriales	c__Coriobacteriia|o__Eggerthellales	c__Bacteroidia|o__Bacteroidales	c__Candidatus_Melainabacteria_unclassified|o__Candidatus_Gastranaerophilales	c__Bacilli|o__Bacillales	c__Bacilli|o__Lactobacillales	c__Clostridia|o__Clostridiales	c__Erysipelotrichia|o__Erysipelotrichales	c__Firmicutes_unclassified|o__Firmicutes_unclassified	c__Negativicutes|o__Acidaminococcales	c__Negativicutes|o__Selenomonadales	c__Negativicutes|o__Veillonellales	c__Tissierellia|o__Tissierellales	c__Tissierellia|o__Tissierellia_unclassified	c__Fusobacteriia|o__Fusobacteriales	c__Lentisphaeria|o__Victivallales	c__Betaproteobacteria|o__Burkholderiales	c__Betaproteobacteria|o__Neisseriales	c__Deltaproteobacteria|o__Desulfovibrionales	c__Epsilonproteobacteria|o__Campylobacterales	c__Gammaproteobacteria|o__Enterobacterales	c__Gammaproteobacteria|o__Pasteurellales	c__Gammaproteobacteria|o__Pseudomonadales	c__Proteobacteria_unclassified|o__Proteobacteria_unclassified	c__Synergistia|o__Synergistales	c__Verrucomicrobiae|o__Verrucomicrobiales	c__Saccharomycetes|o__Saccharomycetales	c__Eukaryota_unclassified|o__Eukaryota_unclassified
2-hydroxyoctanoate	-0.558007788671881	-0.058453693982433386	-0.8762100156764321	-0.23900243113710795	-0.49388908112370644	1.9012547957935548	2.5722904662269506	1.8819015694891423	-0.6463399555607929	-1.9911037905768252	-0.8570038265792783	1.0354174268286132	-0.1809402945728702	-0.21630700506713207	-0.8593154897508344	-0.8850455659054761	-0.7252469373144186	-0.2783727170787831	0.23027141693094755	-0.5911077875313135	-0.7335353449843471	0.28109244482303053	0.824604616133743	1.5172424262231285	-0.6746833740194349	0.2855243991142573	0.06610705218986901	1.1185507231352574	-0.416991033181366	-0.11005168109242458	0.7032592495130567	1.0185230204344073	0.3491127999303256	-0.8152360098416207	2.360776943565148	1.446624835549421
21-deoxycortisol	-2.5712859306341884	-2.9405912050739014	-2.125425541464197	-2.7300791262486315	-2.5362346795907076	1.82388688452675	0.42445484887758544	-0.04292031813496311	-2.2169397335437027	-2.5027187690624126	-2.663008854940971	0.6728107364566136	-1.3725244415575655	-2.6759325853781037	-2.7602000006146032	-3.4608213226957476	-2.24731355537814	-1.6151184887660808	0.5318072317553718	-2.369897703156377	-2.5328617412474324	-3.815244523874768	-1.7599306576973865	0.4267422863291028	-2.5814619473548044	-3.0258398399937207	-2.5918193414638147	2.0634685757030056	-2.4713533059231785	-2.310970995813423	0.8339187842140634	-1.0370131284564799	-0.7025182404570656	-2.702461952027609	2.2433492856272337	0.41075772895639695
3'-O-methyladenosine	1.776416102884562	2.4434876027051287	1.2876669391742288	2.2709117292592267	1.9759446444321307	-0.7960233406127276	-0.39359852226780534	0.2610499428777129	2.004154569784214	1.7436513721076343	2.1694764318762463	0.634587973348927	0.3759275985541497	1.8642265242672407	2.194644325965711	2.334096352917217	2.055887970811442	0.8310943296575655	0.7371245430418217	1.834164508516102	1.8103265331054366	2.941930418906636	1.385078802400227	0.5118422622306664	2.017924008962942	1.7011544037894253	1.7532384689151321	-0.3585742366374448	1.8229374711822808	1.642426493887652	0.79629833222689	1.9415999251575677	1.0023308815619205	2.2523136368118157	0.005544148776360225	-0.4221464452979359
3-hydroxydecanoate	-0.4822141371464217	-0.6216395225717699	-0.5658591120655965	-0.6997920966104254	-0.6673638269567965	-2.5120194630099655	-1.4505048169772423	-1.5555165033999983	-1.010992066596295	-0.6428798925879518	-0.7114235439578118	-2.5812894267466366	-0.5229170112299992	-0.4280312668604198	-0.6399494979016718	-0.09536182848468133	-1.0209166391069096	-0.6524522808853579	-2.5834845908889035	-0.7214696586385521	-0.5695509360828361	-0.13763316805327408	-0.8587521219911118	-2.2207599077627442	-0.6836046618705369	0.06396335654557417	-0.41340137437230595	-3.1375015047910857	-0.6058797241644291	-0.6101331391827598	-2.887849331660748	-1.9576565884052035	-1.6068617250984165	-0.7392201120182886	-3.4969575494701144	-1.4886349494394187
3-hydroxymethylglutarate	-0.8827784309347724	-1.300804439143585	-0.4778958624323275	-1.0628332631323194	-0.8276189700388594	-0.218691782640012	-1.6852305947324173	-1.2870681291819615	-0.4496843119607461	0.2336236343519289	-0.5792007499153342	0.06250685937862777	-0.7481875228852561	-1.1901208656509223	-0.645501783040012	-1.1331402861259567	-0.39329906388892355	-0.6948847172695007	0.5952875291268115	-0.6757953727139854	-0.7098317214549907	-2.059561180210349	-1.4278917223100835	-0.5431818235831043	-0.714598170670846	-1.9088201044225097	-1.3804211428855089	0.7266916020197115	-0.8922479450505345	-1.0671907429520964	0.5012091431941443	-0.7855758842234353	-0.37544396103827515	-0.6114019874177814	0.07472604575027575	-0.85844476415316
3-hydroxyoctanoate	-2.950282985365838	-3.1034822918056433	-2.6873925217777144	-3.0610360257057985	-3.0162159550608383	4.376190084362634	4.073199032705023	2.4886931162340824	-3.042736193219691	-4.5592520423268885	-3.663641911699129	1.592533032212744	-0.7352001875279579	-2.679089690343303	-3.739557809600321	-4.263855916790324	-3.1925686124127726	-1.3457738255059883	0.4941492042732748	-2.9253123519017623	-3.161669598168413	-3.583194169959626	-0.5813920349531139	2.118652154279716	-3.2859036471292216	-2.153975886092247	-2.215207666148535	3.2432582535172614	-2.7685913188261018	-2.1788751667859385	1.1632322598261882	-0.40630249407294694	-0.2529478949779691	-3.702914807065256	4.499240975287116	2.7755120060632033
3-methyladipate/pimelate	-0.9164481941573963	-1.23372057910895	-0.5611579738551002	-1.0417879537858759	-0.8651864296564347	1.2273340120453802	-0.03759011003243318	-0.03577379743328524	-0.5508905260906531	-0.38989602954207836	-0.8010651569056948	0.9099538614981091	-0.3906313476509591	-1.0960382360309007	-0.8732349810494038	-1.4001348136111007	-0.5365572100475708	-0.4518556467753445	1.089258641093573	-0.7299623840783442	-0.8203453877066917	-1.9402026921591617	-0.8138593225220361	0.5219301756648467	-0.8332270680872442	-1.5835981956705214	-1.149064542609997	1.7808590548572116	-0.8729858151813779	-0.8884851316662852	1.1871002340301662	-0.17017861224936293	0.11265848188811645	-0.8288329681496418	1.5914921655518381	0.32334038431269374
3-methylglutaconate	-3.05549194075127	-3.690358678613224	-2.4724864391049453	-3.4711944818153175	-3.1816454642676266	2.6649129926381607	1.665080709684863	0.5970948598037584	-3.057464043487814	-3.4579947928517276	-3.538956832228129	0.4561540812154288	-1.0036613287766083	-3.084426953453284	-3.6222911797423056	-4.1913960399911945	-3.1435498981153405	-1.571804656130455	0.019148980347471034	-2.989024907706113	-3.1212475947541845	-4.543782037696161	-1.768602007713365	0.5615267591795867	-3.3089627687638528	-3.0035583206648897	-2.84990505815429	2.1898849564006433	-2.987080309407195	-2.638756208598795	0.31095488873557486	-1.7201140618141444	-0.9395505860670215	-3.621370793977463	2.4016989109313625	1.316232797236702
3-methylhistidine	-0.8321464836207579	-1.719427096268924	-0.0057513084135250025	-1.3124776664912106	-0.8579669898681248	3.112041032895873	0.868818914822794	0.7113215777543573	-0.3623206879547456	0.2695056163382832	-0.7755296482702387	2.149889235869991	0.5308218741967363	-1.2138604821996224	-0.8964666024212751	-1.7575670917007242	-0.3479865519191707	0.24953967479688366	2.5368621684617736	-0.5680199036882505	-0.6668734448165403	-3.089173997866784	-0.7739469741587781	1.5188389228562011	-0.7930547436663362	-1.9820369787259877	-1.3009421955074671	3.9113319690468047	-0.8154805992046614	-0.8187376973607385	2.564146489481106	-0.0862347483438819	0.9055986578095718	-0.8641086034920928	3.209326484596082	1.6563428761576757
3-methylxanthine	0.6954910436186743	-0.07613342873945594	1.1051579904978333	0.129819087600056	0.4985209819443235	-2.594074193566923	-2.964403476984098	-2.3340518292023553	0.5075224871877659	2.26805564592347	0.8688485195224689	-1.8914650239772461	0.49630048448365693	0.308380689397703	0.8983916594487813	1.1412673991088762	0.5891889917423003	0.4637347373957863	-0.982765316324422	0.6134925314166119	0.843279708421226	-0.33107514599765464	-1.001639922948237	-2.262115378219738	0.6819189855575454	-0.01791183508705485	0.0020130406687233204	-2.0602766414056943	0.4659664032772155	0.13438967176510008	-1.6813823489174051	-1.8256859537901262	-0.7254141991207625	0.7895396012787081	-3.7212577803519555	-1.6732042387011192
