	feature_id	axis	embed_type	values
41	4-pyridoxate	0	metabolite	0.6774948239326477
42	5-acetylamino-6-amino-3-methyluracil	0	metabolite	1.7055063247680664
43	5-aminolevulinic acid	0	metabolite	0.44177642464637756
44	5-dodecenoate	0	metabolite	2.860419511795044
45	5-hydroxytryptophan	0	metabolite	1.3944571018218994
46	5alpha-cholestan-3beta-ol	0	metabolite	2.2656633853912354
47	7-methylguanine	0	metabolite	0.6214931011199951
48	7-methylxanthine	0	metabolite	-0.4185534417629242
49	8-hydroxy-deoxyguanosine	0	metabolite	1.964656114578247
50	9.10-diHOME	0	metabolite	1.2848135232925415
51	ADMA/SDMA	0	metabolite	-0.7031876444816589
52	C10 carnitine	0	metabolite	1.5192452669143677
53	C10:2 carnitine	0	metabolite	0.46897900104522705
54	C12 carnitine	0	metabolite	1.9604874849319458
55	C12:1 carnitine	0	metabolite	0.8422032594680786
56	C14 carnitine	0	metabolite	1.169539213180542
57	C14:0 CE	0	metabolite	2.7974514961242676
58	C14:0 LPC	0	metabolite	0.8729346394538879
59	C14:0 SM	0	metabolite	2.6501755714416504
60	C14:1 carnitine	0	metabolite	0.6977907419204712
61	C14:2 carnitine	0	metabolite	0.8728196620941162
62	C16 carnitine	0	metabolite	0.6328093409538269
63	C16-OH carnitine	0	metabolite	1.432050108909607
64	C16:0 CE	0	metabolite	1.5531848669052124
65	C16:0 Ceramide (d18:1)	0	metabolite	0.23368455469608307
66	C16:0 LPC	0	metabolite	-0.3887123167514801
67	C16:0 LPE	0	metabolite	0.9880074858665466
68	C16:0 SM	0	metabolite	0.48080509901046753
69	C16:1 CE	0	metabolite	1.4042954444885254
70	C16:1 LPC	0	metabolite	1.6572872400283813
71	C16:1 LPC plasmalogen	0	metabolite	-0.10477625578641891
72	C16:1 LPE	0	metabolite	2.9299211502075195
73	C16:1 MAG	0	metabolite	1.1404380798339844
74	C16:1 SM	0	metabolite	1.9167604446411133
75	C18 carnitine	0	metabolite	0.9217617511749268
76	C18:0 CE	0	metabolite	1.570261001586914
77	C18:0 LPC	0	metabolite	-0.8666766285896301
78	C18:0 LPE	0	metabolite	1.3450247049331665
79	C18:0 LPE-A	0	metabolite	-0.6574264168739319
80	C18:0 LPE-B	0	metabolite	0.9848501682281494
81	C18:0 MAG	0	metabolite	1.054171085357666
82	C18:0 SM	0	metabolite	0.3294585347175598
83	C18:1 CE	0	metabolite	0.35269805788993835
84	C18:1 LPC	0	metabolite	0.42763128876686096
85	C18:1 LPC plasmalogen	0	metabolite	0.8266292810440063
86	C18:1 LPE	0	metabolite	2.5972797870635986
87	C18:1 SM	0	metabolite	3.2482352256774902
88	C18:1 carnitine	0	metabolite	0.20308060944080353
89	C18:1-OH carnitine	0	metabolite	0.4236209988594055
90	C18:2 CE	0	metabolite	0.9310340285301208
91	C18:2 LPC	0	metabolite	-0.6915549039840698
92	C18:2 LPE	0	metabolite	2.4824631214141846
93	C18:2 carnitine	0	metabolite	1.3410714864730835
94	C18:3 CE	0	metabolite	2.402108907699585
95	C18:3 LPC	0	metabolite	0.645809531211853
96	C2 Ceramide (d18:1)	0	metabolite	2.098849058151245
97	C2 carnitine	0	metabolite	1.1340265274047852
98	C20 carnitine	0	metabolite	0.7053379416465759
99	C20:0 LPE	0	metabolite	0.1769467145204544
100	C20:0 SM	0	metabolite	2.0850894451141357
101	C20:1 LPC	0	metabolite	1.158637285232544
102	C20:3 CE	0	metabolite	2.0142176151275635
103	C20:3 LPC	0	metabolite	1.1505998373031616
104	C20:4 CE	0	metabolite	0.6153050065040588
105	C20:4 LPC	0	metabolite	2.2854087352752686
106	C20:4 LPE	0	metabolite	1.2661365270614624
107	C20:4 carnitine	0	metabolite	0.6418053507804871
108	C20:5 CE	0	metabolite	1.7415235042572021
109	C20:5 LPC	0	metabolite	0.7425656914710999
110	C22:0 Ceramide (d18:1)	0	metabolite	1.7908951044082642
111	C22:0 LPE	0	metabolite	3.0009846687316895
112	C22:0 SM	0	metabolite	0.8634477257728577
113	C22:1 MAG	0	metabolite	2.599318504333496
114	C22:1 SM	0	metabolite	1.4900705814361572
115	C22:4 CE	0	metabolite	2.1801178455352783
116	C22:5 CE	0	metabolite	1.734325885772705
117	C22:6 CE	0	metabolite	2.1337900161743164
118	C22:6 LPC	0	metabolite	3.2390220165252686
119	C22:6 LPE	0	metabolite	-0.4884125590324402
120	C24:0 Ceramide (d18:1)	0	metabolite	1.2917325496673584
121	C24:0 SM	0	metabolite	1.8302552700042725
122	C24:1 Ceramide (d18:1)	0	metabolite	1.1187058687210083
123	C24:1 SM	0	metabolite	0.11013474315404892
124	C3 carnitine	0	metabolite	1.122073769569397
125	C3-DC-CH3 carnitine	0	metabolite	0.9437940120697021
