featureid	UNKNOWN	p__Euryarchaeota|c__Methanobacteria	p__Euryarchaeota|c__Thermoplasmata	p__Actinobacteria|c__Actinobacteria	p__Actinobacteria|c__Coriobacteriia	p__Bacteroidetes|c__Bacteroidia	p__Candidatus_Melainabacteria|c__Candidatus_Melainabacteria_unclassified	p__Firmicutes|c__Bacilli	p__Firmicutes|c__Clostridia	p__Firmicutes|c__Erysipelotrichia	p__Firmicutes|c__Firmicutes_unclassified	p__Firmicutes|c__Negativicutes	p__Firmicutes|c__Tissierellia	p__Fusobacteria|c__Fusobacteriia	p__Lentisphaerae|c__Lentisphaeria	p__Proteobacteria|c__Betaproteobacteria	p__Proteobacteria|c__Deltaproteobacteria	p__Proteobacteria|c__Epsilonproteobacteria	p__Proteobacteria|c__Gammaproteobacteria	p__Proteobacteria|c__Proteobacteria_unclassified	p__Spirochaetes|c__Spirochaetia	p__Synergistetes|c__Synergistia	p__Verrucomicrobia|c__Verrucomicrobiae	p__Ascomycota|c__Saccharomycetes	p__Eukaryota_unclassified|c__Eukaryota_unclassified
C36:2 DAG	3.0628866647283055	2.157431968396795	0.34625587565803095	3.0391604675967208	2.8477715254525333	3.3847662182084886	2.9744609880197475	2.6573735007564405	3.044690077283245	2.5447184938953664	2.855790521446155	2.880875064679473	2.867386487145663	0.9244292640958305	3.4931547616838894	3.531889306148732	3.7172517559461324	0.22701584676647935	2.304462951777918	3.0383001061010804	1.7329542642016895	2.7158996266948146	3.114664241385928	2.1952635156080262	1.5039485323579864
C36:2 PC	0.4456980062162721	1.0141901713545913	0.6313090358872661	0.610448412715936	0.5975591312934138	0.6193547153175434	0.9559092127007633	0.5218294826544461	0.49656089578738904	0.42018868379784413	0.4262099888823374	0.5556127942347405	0.34659159578083987	0.1189218617435217	1.2826487825911843	0.7055436014806625	0.4805870954166007	0.1520353391314493	0.42362559156118296	0.5761395922234214	1.1194248956300097	0.31630500696818675	0.4952612155636299	1.900976953416434	0.4885404556650801
C36:2 PC plasmalogen	-0.9487744468028354	0.5067743582355211	1.11635020638846	-0.7548812354482497	-0.5958534879575944	-0.8604289854778617	-0.10773635751143074	-0.7530344228980579	-0.9452893579126043	-0.8069441689611923	-0.9581541618201306	-0.7232636765570993	-1.0610658319306614	-0.05026272335788029	0.05525606793291349	-0.8041949213866554	-1.377112057216551	0.35819117058686656	-0.7401024890904059	-0.756206519218189	0.9917667051796153	-0.9919982098517419	-0.9651900851885452	1.7921167861450331	0.12595652055780526
C36:3 DAG	3.0963409858331885	1.400799546137023	-1.4493910598643465	3.1378410237344343	2.7233811075046077	3.493266153945365	2.748664527314533	2.7644168504097832	3.2155294194315323	2.563925071028482	2.9886366125282646	2.87540030223046	2.986713667786664	-0.2919624947731174	3.4703622572807773	3.661480586801962	4.263658140259909	-1.2586286484584854	2.3546584088508844	3.0507104241292904	0.5716363150505419	2.7174915132778033	3.276533704286536	1.2114546413608211	0.5377337872400272
C36:3 PC	-0.46935019410178613	-0.2921312519878241	-0.4672023428016756	-0.36852567338676884	-0.4092207979324912	-0.41926151095699105	-0.3006176269446583	-0.34593501955753236	-0.39998566635394717	-0.4008263398230021	-0.41487358310864497	-0.39790741684322206	-0.46114497534125043	-0.6306859340622668	-0.18017790452759197	-0.39965207058800856	-0.41265517113408823	-0.5764765207683924	-0.3455908920559808	-0.41354653495929306	-0.2929848577125167	-0.4858533564193497	-0.4155252759303524	0.03827905848177782	-0.48412331082324034
C36:4 DAG	3.2671740175218154	0.5526554414716356	-1.4737132124720895	2.8807471454314997	2.5918671345858897	3.391863253135549	1.9795939375892417	2.483693567314969	3.146862732583519	2.522610428357078	3.00096876449607	2.7484277886142348	3.1830149551590514	0.5853263679102243	2.071595957866882	3.4267460946479917	4.240117042872334	-0.5775956847191419	2.160145070303587	2.9369690224787526	-0.3692986177129782	3.0025936348210056	3.2546563856135298	-1.3625505129078248	0.6874352340715255
C36:4 PC plasmalogen	-1.636033918207462	-0.5904754951866613	-0.6760706385022031	-1.3629836468294052	-1.3557195414351213	-1.4863575038053067	-0.8870962457571525	-1.340998048615016	-1.5211538056246345	-1.469004261191011	-1.5596376491403494	-1.4057438829527396	-1.6871400043798532	-1.55206603495692	-0.55552130700024	-1.410237091258367	-1.730469559400853	-1.2825330463293496	-1.360816573475871	-1.4333855189049665	-0.3519182935672651	-1.6983651829399076	-1.553205696640958	0.6841589208637262	-1.169895277786594
C36:4 PC-A	-1.1884840254529672	-0.3011693299220106	1.1044525657100162	-1.2551633722059432	-1.0045362891226297	-1.3383677244957841	-0.9742449579690207	-1.1802468464475178	-1.314179555190445	-1.0670203044630968	-1.2377913159774558	-1.1185316357762023	-1.2277891390684497	0.47274035359616473	-1.308222896923473	-1.3995666082243354	-1.8170294638254072	0.8756197186463628	-1.0376749999203927	-1.1778757269991758	0.16103191925435167	-1.084473599872597	-1.3215313447649915	-0.17454606283623608	0.08265038097792754
C36:4 PC-B	-2.235291350362156	-0.573898878293255	0.011675147308015194	-2.0144976193765234	-1.8345089354344104	-2.103253637129109	-1.24045472683513	-2.051152715121362	-2.2418325380313027	-2.1207026611830537	-2.2731856759759457	-1.9878697570990038	-2.390598569557608	-1.3305148436372471	-1.005745544552302	-2.022545246793373	-2.6992097254636827	-0.9084615989288607	-2.070542073471321	-2.009694491140362	-0.024990223897377817	-2.3179405275819374	-2.257216112375175	0.9538549558042269	-1.077703526092975
C36:5 PC plasmalogen	-2.2227944446422137	-2.186676768461428	-1.9554275674134816	-2.1367212232420267	-2.1883406561749297	-2.3173559726899082	-2.2826399215025446	-1.9416836771197001	-2.1066067408382194	-1.9576132581005856	-2.045740910474406	-2.1294801010440185	-2.0807069024695943	-1.957293967542788	-2.3838260752170166	-2.373541081295827	-2.227200638853355	-1.751602485369769	-1.7961198297080028	-2.208116330944204	-2.216869238552281	-2.085645269727186	-2.1523300731063126	-2.2363377612361837	-2.0477677170603776
